Slot,Item,AStab,ASlash,ACrush,AMagic,ARange,DStab,DSlash,DCrush,DMagic,DRange,MeleeStr,RangeStr,MagicDmg,Prayer,Req Skill,Req Level,Value,Members
weapon,rune pickaxe,26,-2,24,0,0,0,1,0,0,0,29,0,0,0,attack,40,1200,no
weapon,staff of air,0,-1,7,10,0,2,3,1,10,0,3,0,0,0,attack,1,1500,no
weapon,staff of earth,1,-1,9,10,0,2,3,1,10,0,5,0,0,0,attack,1,1500,no
weapon,staff of fire,3,-1,9,10,0,2,3,1,10,0,6,0,0,0,attack,1,1500,no
weapon,staff of water,0,-1,7,10,0,2,3,1,10,0,3,0,0,0,attack,1,1500,no
weapon,magic shortbow,0,0,0,0,69,0,0,0,0,0,0,0,0,0,ranged,50,1600,yes
weapon,rune sword,38,26,-2,0,0,0,2,1,0,0,39,0,0,0,attack,40,1800,no
weapon,rune scimitar,7,45,-2,0,0,0,1,0,0,0,44,0,0,0,attack,40,2400,no
weapon,rune crossbow,0,0,0,0,90,0,0,0,0,0,0,0,0,0,ranged,61,16200,yes
weapon,dragon dagger,40,25,-4,1,0,0,0,0,1,0,40,0,0,0,attack,60,30000,yes
weapon,hill giant club,-4,50,65,-4,0,0,0,0,0,-1,70,0,0,0,attack,40,45000,no
weapon,dragon mace,40,-2,60,0,0,0,0,0,0,0,55,0,0,5,attack,60,50000,yes
weapon,granite maul,0,0,81,0,0,0,0,0,0,0,79,0,0,0,"attack, strength","50, 50",50000,yes
weapon,dragon longsword,58,69,-2,0,0,0,3,2,0,0,71,0,0,0,attack,60,100000,yes
weapon,dragon scimitar,8,67,-2,0,0,0,1,0,0,0,66,0,0,0,attack,60,100000,yes
weapon,abyssal whip,0,82,0,0,0,0,0,0,0,0,82,0,0,0,attack,70,120001,yes
ammo,bronze arrow,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,,2,no
ammo,iron arrow,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,,5,no
ammo,steel arrow,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,,8,no
ammo,mithril arrow,0,0,0,0,0,0,0,0,0,0,0,22,0,0,,,14,no
ammo,adamant arrow,0,0,0,0,0,0,0,0,0,0,0,31,0,0,,,17,no
ammo,rune arrow,0,0,0,0,0,0,0,0,0,0,0,49,0,0,,,20,no
ammo,adamant bolts,0,0,0,0,0,0,0,0,0,0,0,100,0,0,ranged,36,58,yes
ammo,runite bolts,0,0,0,0,0,0,0,0,0,0,0,115,0,0,ranged,61,300,yes
head,chef's hat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,no
head,wizard hat,0,0,0,2,0,0,0,0,2,0,0,0,0,0,,,20,no
head,bronze full helm,0,0,0,-6,-3,4,5,3,-1,4,0,0,0,0,defence,1,35,no
head,iron full helm,0,0,0,-6,-3,6,7,5,-1,6,0,0,0,0,defence,1,70,no
head,steel full helm,0,0,0,-6,-3,9,10,7,-1,9,0,0,0,0,defence,5,140,no
head,coif,0,0,0,-1,2,4,6,8,4,4,0,0,0,0,,,200,no
head,black full helm,0,0,0,-6,-3,12,13,10,-1,12,0,0,0,0,defence,10,245,no
head,mithril full helm,0,0,0,-6,-3,13,14,11,-1,13,0,0,0,0,defence,20,420,no
head,adamant full helm,0,0,0,-6,-3,19,21,16,-1,19,0,0,0,0,defence,30,875,no
head,rune full helm,0,0,0,-6,-3,30,32,27,-1,30,0,0,0,0,defence,40,2100,no
head,mystic hat,0,0,0,4,0,0,0,0,4,0,0,0,0,0,"magic, defence","40, 20",15000,yes
head,berserker helm,0,0,0,-5,-5,31,29,33,0,30,3,0,0,0,defence,45,60000,yes
head,dragon med helm,0,0,0,-3,0,33,35,32,-1,34,0,0,0,0,defence,60,60000,yes
body,wizard robe,0,0,0,3,0,0,0,0,3,0,0,0,0,0,,,20,no
body,leather body,0,0,0,-2,2,8,9,10,4,9,0,0,0,0,defence,1,30,no
body,bronze platebody,0,0,0,-30,-15,15,14,9,-6,14,0,0,0,0,defence,1,100,no
body,iron platebody,0,0,0,-30,-15,21,20,12,-6,20,0,0,0,0,defence,1,200,no
body,steel platebody,0,0,0,-30,-15,32,31,24,-6,31,0,0,0,0,defence,5,400,no
body,black platebody,0,0,0,-30,-15,41,40,30,-6,40,0,0,0,0,defence,10,700,no
body,mithril platebody,0,0,0,-30,-15,46,44,38,-6,44,0,0,0,0,defence,20,1200,no
body,snakeskin body,0,0,0,-5,12,25,28,32,15,35,0,0,0,0,"ranged, defence","30, 30",1250,yes
body,adamant platebody,0,0,0,-30,-15,65,63,55,-6,63,0,0,0,0,defence,30,2500,no
body,rune platebody,0,0,0,-30,-15,82,80,72,-6,80,0,0,0,0,defence,40,6000,no
body,green d'hide body,0,0,0,-15,15,18,27,24,20,35,0,0,0,0,"ranged, defence","40, 40",7800,no
body,mystic robe top,0,0,0,20,0,0,0,0,20,0,0,0,0,0,"magic, defence","40, 20",120000,yes
body,dragon chainbody,0,0,0,-15,0,81,93,98,-3,82,0,0,0,0,defence,60,250000,yes
legs,bronze platelegs,0,0,0,-21,-11,8,7,6,-4,7,0,0,0,0,defence,1,70,no
legs,iron platelegs,0,0,0,-21,-11,11,10,10,-4,10,0,0,0,0,defence,1,140,no
legs,steel platelegs,0,0,0,-21,-11,17,16,15,-4,16,0,0,0,0,defence,5,280,no
legs,black platelegs,0,0,0,-21,-11,21,20,19,-4,20,0,0,0,0,defence,10,490,no
legs,mithril platelegs,0,0,0,-21,-11,24,22,20,-4,22,0,0,0,0,defence,20,840,no
legs,adamant platelegs,0,0,0,-21,-11,33,31,29,-4,31,0,0,0,0,defence,30,1750,no
legs,green d'hide chaps,0,0,0,-10,8,12,15,18,8,17,0,0,0,0,ranged,40,3900,no
legs,rune platelegs,0,0,0,-21,-11,51,49,47,-4,49,0,0,0,0,defence,40,4200,no
legs,mystic robe bottom,0,0,0,15,0,0,0,0,15,0,0,0,0,0,"magic, defence","40, 20",80000,yes
legs,dragon platelegs,0,0,0,-21,-11,68,66,63,-4,65,0,0,0,0,defence,60,270000,yes
shield,bronze kiteshield,0,0,0,-8,-3,5,7,6,-1,6,0,0,0,0,defence,1,60,no
shield,iron kiteshield,0,0,0,-8,-3,8,10,9,-1,9,0,0,0,0,defence,1,120,no
shield,steel kiteshield,0,0,0,-8,-3,13,15,14,-1,14,0,0,0,0,defence,5,240,no
shield,black kiteshield,0,0,0,-8,-3,17,19,18,-1,18,0,0,0,0,defence,10,420,no
shield,mithril kiteshield,0,0,0,-8,-3,18,22,20,-1,20,0,0,0,0,defence,20,720,no
shield,adamant kiteshield,0,0,0,-8,-3,27,31,29,-1,29,0,0,0,0,defence,30,1500,no
shield,rune kiteshield,0,0,0,-8,-3,44,48,46,-1,46,0,0,0,0,defence,40,3600,no
shield,dragon kiteshield,0,0,0,-8,-3,56,60,58,-1,58,0,0,0,0,defence,60,1600000,yes
amulet,amulet of accuracy,4,4,4,4,4,0,0,0,0,0,0,0,0,0,,,500,no
amulet,amulet of defence,0,0,0,0,0,7,7,7,7,7,0,0,0,0,,,600,no
amulet,holy symbol,0,0,0,0,0,2,2,2,2,2,0,0,0,8,,,800,no
amulet,amulet of magic,0,0,0,10,0,0,0,0,0,0,0,0,0,0,,,1000,no
amulet,amulet of power,6,6,6,6,6,6,6,6,6,6,6,0,0,1,,,1500,no
amulet,amulet of strength,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,,1800,no
amulet,amulet of glory,10,10,10,10,10,3,3,3,3,3,6,0,0,3,,,17625,yes
cape,black cape,0,0,0,0,0,0,1,1,0,2,0,0,0,0,,,20,no
cape,blue cape,0,0,0,0,0,0,1,1,0,2,0,0,0,0,,,20,no
cape,green cape,0,0,0,0,0,0,1,1,0,2,0,0,0,0,,,20,no
cape,purple cape,0,0,0,0,0,0,1,1,0,2,0,0,0,0,,,20,no
cape,red cape,0,0,0,0,0,0,1,1,0,2,0,0,0,0,,,20,no
cape,yellow cape,0,0,0,0,0,0,1,1,0,2,0,0,0,0,,,20,no
cape,team cape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,50,no
cape,cape of legends,0,0,0,0,0,7,7,7,7,7,1,0,0,0,,,1200,yes
gloves,leather gloves,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,,12,no
gloves,hardleather gloves,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,30,no
gloves,green d'hide vambraces,0,0,0,-10,8,1,2,2,2,0,0,0,0,0,ranged,40,2500,no
gloves,mystic gloves,0,0,0,3,0,0,0,0,3,0,0,0,0,0,"magic, defence","40, 20",10000,yes
boots,leather boots,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,12,no
boots,climbing boots,0,0,0,0,0,0,2,2,0,0,2,0,0,0,,,120,yes
boots,mystic boots,0,0,0,3,0,0,0,0,3,0,0,0,0,0,"magic, defence","40, 20",10000,yes
boots,dragon boots,0,0,0,-3,-1,16,17,18,0,0,4,0,0,0,defence,60,20000,yes
ring,gold ring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,350,no
ring,ring of recoil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,500,yes
